"objectid","sgg_cd","sgg_nm","crtr_yr","dgnppn_idx","pmpp_idx","flod_dngr_bdst_idx","flod_dngr_ppltn_idx","flod_dngr_oalp_idx","flod_dngr_fmld_idx","flod_dngr_oldbuld_idx","flod_dngr_dpptn_idx","flod_dngr_cltv_area_idx","dstpvt_fclt_dnsy_idx","acml_dstpvt_bgt_idx","flod_dngr_idx","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
357,"41410",경기도 군포시,"2020",0.2000000000,0.5000000000,0.2000000000,0.1000000000,0.3000000000,0.2000000000,0.4000000000,0.1000000000,0.1000000000,0.4000000000,0.3000000000,0.2267607600,system,2025-05-08 20:16:14.917,system,2025-05-08 20:16:14.917
358,"41430",경기도 의왕시,"2020",0.3000000000,0.7000000000,0.1000000000,0.4000000000,0.2000000000,0.1000000000,0.2000000000,0.4000000000,0.2000000000,0.1000000000,0.5000000000,0.3829556300,system,2025-05-08 20:16:14.917,system,2025-05-08 20:16:14.917
359,"41450",경기도 하남시,"2020",0.6000000000,0.6000000000,0.4000000000,0.9000000000,0.7000000000,0.3000000000,0.5000000000,0.9000000000,0.3000000000,0.1000000000,0.4000000000,0.3581218600,system,2025-05-08 20:16:14.917,system,2025-05-08 20:16:14.917
360,"41460",경기도 용인시,"2020",0.2000000000,0.8000000000,0.9000000000,0.8000000000,0.8000000000,0.8000000000,0.7000000000,0.8000000000,0.8000000000,0.6000000000,0.5000000000,0.7291355700,system,2025-05-08 20:16:14.917,system,2025-05-08 20:16:14.917
361,"41480",경기도 파주시,"2020",0.9000000000,0.7000000000,0.9000000000,0.7000000000,0.9000000000,0.9000000000,0.6000000000,0.8000000000,0.8000000000,0.8000000000,0.8000000000,0.8176143300,system,2025-05-08 20:16:14.917,system,2025-05-08 20:16:14.917
362,"41500",경기도 이천시,"2020",0.1000000000,0.9000000000,0.9000000000,0.6000000000,0.7000000000,1.0000000000,0.7000000000,0.6000000000,1.0000000000,1.0000000000,0.8000000000,1.0000000000,system,2025-05-08 20:16:14.917,system,2025-05-08 20:16:14.917
363,"41550",경기도 안성시,"2020",0.1000000000,0.9000000000,0.9000000000,0.6000000000,0.7000000000,1.0000000000,0.9000000000,0.6000000000,0.9000000000,0.8000000000,0.9000000000,0.9705523100,system,2025-05-08 20:16:14.917,system,2025-05-08 20:16:14.917
364,"41570",경기도 김포시,"2020",1.0000000000,0.6000000000,1.0000000000,0.9000000000,1.0000000000,0.8000000000,0.6000000000,1.0000000000,0.9000000000,0.8000000000,0.4000000000,0.6730899700,system,2025-05-08 20:16:14.917,system,2025-05-08 20:16:14.917
365,"41590",경기도 화성시,"2020",0.1000000000,0.4000000000,0.8000000000,0.6000000000,0.9000000000,0.9000000000,0.6000000000,0.6000000000,0.7000000000,0.4000000000,0.6000000000,0.5030533300,system,2025-05-08 20:16:14.917,system,2025-05-08 20:16:14.917
366,"41610",경기도 광주시,"2020",0.4000000000,0.8000000000,0.7000000000,0.8000000000,0.7000000000,0.6000000000,0.7000000000,0.8000000000,0.7000000000,0.9000000000,0.9000000000,0.8777310400,system,2025-05-08 20:16:14.917,system,2025-05-08 20:16:14.917
