"crtr_yr","admdst_se_cd","admdst_cd","admdst_nm","ldsld_dngr_grd1_area","ldsld_dngr_grd2_area","ldsld_dngr_grd3_area","ldsld_dngr_grd4_area","ldsld_dngr_grd5_area","ldsld_dngr_grd1_area_rt","ldsld_dngr_grd2_area_rt","ldsld_dngr_grd3_area_rt","ldsld_dngr_grd4_area_rt","ldsld_dngr_grd5_area_rt","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2023",ADM004,"31012520",세류1동,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00,0.00,0.00,0.00,0.00,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31012530",세류2동,0.000000000,0.000000000,100.000000000,600.000000000,4300.000000000,0.00,0.00,0.02,0.12,0.86,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31012540",세류3동,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00,0.00,0.00,0.00,0.00,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31012550",평동,3200.000000000,17200.000000000,34300.000000000,51900.000000000,158800.000000000,0.01,0.06,0.13,0.20,0.60,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31012610",곡선동,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00,0.00,0.00,0.00,0.00,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31012620",입북동,61400.000000000,82300.000000000,125300.000000000,225800.000000000,337700.000000000,0.07,0.10,0.15,0.27,0.41,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31012640",권선2동,100.000000000,200.000000000,100.000000000,800.000000000,6400.000000000,0.01,0.03,0.01,0.11,0.84,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31012650",금곡동,93100.000000000,126400.000000000,174100.000000000,274200.000000000,271000.000000000,0.10,0.13,0.19,0.29,0.29,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31012660",호매실동,156300.000000000,181000.000000000,169100.000000000,185600.000000000,444000.000000000,0.14,0.16,0.15,0.16,0.39,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31013540",우만1동,3500.000000000,13100.000000000,26100.000000000,27800.000000000,20900.000000000,0.04,0.14,0.29,0.30,0.23,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31013560",인계동,100.000000000,500.000000000,1700.000000000,6800.000000000,50200.000000000,0.00,0.01,0.03,0.11,0.85,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31014530",매탄3동,0.000000000,0.000000000,200.000000000,400.000000000,47600.000000000,0.00,0.00,0.00,0.01,0.99,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31014540",매탄4동,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00,0.00,0.00,0.00,0.00,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31014600",원천동,22600.000000000,65200.000000000,135400.000000000,168600.000000000,82200.000000000,0.05,0.14,0.29,0.36,0.17,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31014620",광교1동,117400.000000000,360500.000000000,620600.000000000,959300.000000000,850000.000000000,0.04,0.12,0.21,0.33,0.29,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31014630",광교2동,8700.000000000,59100.000000000,119200.000000000,284500.000000000,375200.000000000,0.01,0.07,0.14,0.34,0.44,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31014640",영통1동,16800.000000000,62300.000000000,101900.000000000,114800.000000000,75700.000000000,0.05,0.17,0.27,0.31,0.20,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31014650",영통2동,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00,0.00,0.00,0.00,0.00,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31014660",영통3동,7000.000000000,27700.000000000,44800.000000000,52400.000000000,78000.000000000,0.03,0.13,0.21,0.25,0.37,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31014670",망포1동,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00,0.00,0.00,0.00,0.00,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31014680",망포2동,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00,0.00,0.00,0.00,0.00,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31021510",신흥1동,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00,0.00,0.00,0.00,0.00,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31021640",신촌동,63800.000000000,197600.000000000,320000.000000000,570700.000000000,2462500.000000000,0.02,0.05,0.09,0.16,0.68,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31021650",고등동,429300.000000000,975200.000000000,1488800.000000000,2680100.000000000,3601300.000000000,0.05,0.11,0.16,0.29,0.39,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31060600",철산3동,1900.000000000,10400.000000000,17700.000000000,19200.000000000,22300.000000000,0.03,0.15,0.25,0.27,0.31,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31022560",은행2동,61300.000000000,270400.000000000,355300.000000000,709500.000000000,325900.000000000,0.04,0.16,0.21,0.41,0.19,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31022570",상대원1동,309900.000000000,930300.000000000,970100.000000000,1440600.000000000,693800.000000000,0.07,0.21,0.22,0.33,0.16,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31022580",상대원2동,3000.000000000,10200.000000000,17400.000000000,15600.000000000,22800.000000000,0.04,0.15,0.25,0.23,0.33,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31022600",하대원동,35300.000000000,131300.000000000,262700.000000000,242500.000000000,320100.000000000,0.04,0.13,0.26,0.24,0.32,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
