"cmpttn_yr","admdst_cd","admdst_se_cd","admdst_nm","bldg_elpwr_use_cbn_ehqty","bldg_gas_use_cbn_ehqty","bldg_hetng_use_cbn_ehqty","trsp_lv6_cbn_ehqty","sum_ehqty","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2014","4145000000",ADM002,하남시,278221.1800000000,131932.1000000000,1036.7200000000,0.0000000000,411190.0000000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4146000000",ADM002,용인시,2451037.8300000000,675485.6300000000,189402.5800000000,0.0000000000,3315926.0400000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4148000000",ADM002,파주시,1503582.2500000000,417772.6200000000,32879.1700000000,0.0000000000,1954234.0400000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4150000000",ADM002,이천시,1881000.2300000000,353846.4900000000,0.0000000000,0.0000000000,2234846.7200000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4155000000",ADM002,안성시,1070644.5400000000,214339.6100000000,0.0000000000,0.0000000000,1284984.1500000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4157000000",ADM002,김포시,1217149.4700000000,218010.3800000000,32294.9400000000,0.0000000000,1467454.7900000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4159000000",ADM002,화성시,6339773.4600000000,1024311.5200000000,71891.8100000000,0.0000000000,7435976.7900000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4161000000",ADM002,광주시,912373.7400000000,243859.0800000000,0.0000000000,0.0000000000,1156232.8200000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4163000000",ADM002,양주시,807847.6800000000,314271.7500000000,6564.2100000000,0.0000000000,1128683.6400000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4165000000",ADM002,포천시,1001971.9400000000,87227.0900000000,0.0000000000,0.0000000000,1089199.0300000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4167000000",ADM002,여주시,479694.2500000000,116499.1300000000,0.0000000000,0.0000000000,596193.3800000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
