"crtr_ymd","admdst_cd","admdst_nm","admdst_se_cd","sum_genqy","sum_area","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt","grnd_rftp_se_cd"
"2025    ","4161000000",광주시,ADM002,17319493.7077636850,13.158700000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4163000000",양주시,ADM002,391250100.0671768800,299.119700000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4163000000",양주시,ADM002,14819035.8985748233,11.370400000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4165000000",포천시,ADM002,1048038808.6916420000,810.530900000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4165000000",포천시,ADM002,19797385.3199691780,15.292100000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4128100000",덕양구,ADM003,219056253.9210815457,165.276700000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF001
"2025    ","4167000000",여주시,ADM002,781832307.3270263330,596.836000000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4167000000",여주시,ADM002,13792479.3803710898,10.548500000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4180000000",연천군,ADM002,842168288.3080212000,641.290400000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4180000000",연천군,ADM002,5771584.3688964838,4.388700000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4182000000",가평군,ADM002,1089525477.1443550000,835.231100000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4182000000",가평군,ADM002,7286460.4684295660,5.546000000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4183000000",양평군,ADM002,1140443455.8553762000,867.843000000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4183000000",양평군,ADM002,11872794.8685608050,9.002900000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4111100000",장안구,ADM003,39987328.4038238480,30.288200000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF002
"2025    ","4111100000",장안구,ADM003,4042223.0052185060,3.063100000,system,2025-07-17 09:24:38.058,system,2025-07-17 09:24:38.058,GRF003
"2025    ","4111300000",권선구,ADM003,56092064.9465026970,42.266800000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF002
"2025    ","4111300000",권선구,ADM003,6474669.8450317365,4.887000000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF003
"2025    ","4111500000",팔달구,ADM003,13221208.2478332463,10.007900000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF002
"2025    ","4111500000",팔달구,ADM003,3771339.4097442629,2.854400000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF003
"2025    ","4111700000",영통구,ADM003,31407620.6067504970,23.871300000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF002
"2025    ","4111700000",영통구,ADM003,5034325.4116821250,3.828300000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF003
"2025    ","4113100000",수정구,ADM003,56338014.6648407180,42.484000000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF002
"2025    ","4113100000",수정구,ADM003,3782744.4910888651,2.861800000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF003
"2025    ","4113300000",중원구,ADM003,31457697.7266845660,23.810800000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF002
"2025    ","4113300000",중원구,ADM003,3427312.0744476265,2.590600000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF003
"2025    ","4113500000",분당구,ADM003,86298633.1056518600,65.043100000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF002
"2025    ","4113500000",분당구,ADM003,6182145.8157196052,4.660400000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF003
"2025    ","4115000000","",ADM003,100796349.2536010700,76.725100000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF002
"2025    ","4128500000",일산동구,ADM003,79837330.0379791695,59.963600000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF001
"2025    ","4128700000",일산서구,ADM003,55312933.3895720890,41.321700000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF001
"2025    ","4129000000","",ADM003,95409087.0557555850,35.850600000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF001
"2025    ","4131000000","",ADM003,88094015.1316528080,33.218000000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF001
"2025    ","4136000000","",ADM003,1211652200.7577972634,459.659600000,system,2025-07-17 09:24:38.150,system,2025-07-17 09:24:38.150,GRF001
